,Date,User,Tweet
77,2020-11-20 23:19:23+00:00,KMbappe,"Défaite frustrante. 
Déjà concentré sur le match de mardi. 
🔴🔵 @PSG_inside https://t.co/CoustmVAcU"
78,2020-11-17 21:59:01+00:00,KMbappe,Back with an assist 🅰️🎯...@equipedefrance https://t.co/Y4sjeCzC2j
79,2020-11-15 18:42:51+00:00,KMbappe,Back with the team...🇫🇷👐🏽 https://t.co/JcvPdhW9YY
80,2020-11-12 19:01:02+00:00,KMbappe,@PSG_inside @EASPORTSFIFA ❤️💙... ‼️‼️
81,2020-11-09 20:56:12+00:00,KMbappe,@WissBenYedder 😈😈😈
82,2020-11-05 13:09:20+00:00,KMbappe,Blessed 🙏🏽💙... @equipedefrance https://t.co/SqwOZiDQtz
83,2020-11-02 09:55:55+00:00,KMbappe,"L’école de la République, c’est comme une équipe de football.
Les professeurs, c’est comme nos entraîneurs. 
Pour apprendre et gagner, nous devons toujours jouer ensemble. 
Écouter, partager, s’entraider... À l’école comme sur le terrain, SOYONS UNIS 🙏🏽"
84,2020-10-31 22:24:41+00:00,KMbappe,"Win, Goal &amp; Assist 💪🏽👊🏽... @PSG_inside https://t.co/5fgBkUKwmA"
85,2020-10-28 21:37:07+00:00,KMbappe,"🇨🇲🤍🕊🙏🏽
#EndAnglophoneCrisis"
86,2020-10-27 18:44:54+00:00,KMbappe,🛩😷... https://t.co/BeJwUynALf
87,2020-10-26 12:28:33+00:00,KMbappe,"😁🙌🏽👊🏽 #MondayMotivation 

Une nouvelle semaine, toujours la même joie de vivre ce rêve chaque jour. 

@PSG_inside https://t.co/lcy5AHcNbN"
88,2020-10-24 21:29:19+00:00,KMbappe,🔴🔵.... @PSG_inside https://t.co/4t27ShAm5S
89,2020-10-22 11:20:55+00:00,KMbappe,https://t.co/58FX862EvM
90,2020-10-19 14:24:55+00:00,KMbappe,Happiness 😄 https://t.co/8Jdv5LuVrT
91,2020-10-16 21:28:43+00:00,KMbappe,😘❤️... https://t.co/TOMJDpdYHQ
92,2020-10-14 13:04:28+00:00,KMbappe,"@AS_Monaco @heldercosta_ Merci pour tout, trop de bons souvenirs ❤️🤍"
93,2020-10-11 21:30:54+00:00,KMbappe,Idol 👑🐐... @Cristiano https://t.co/uZGEXnhuUB
94,2020-10-09 17:21:21+00:00,KMbappe,How it started.                     How it’s going. https://t.co/ugqpj85SW3
95,2020-10-07 21:32:41+00:00,KMbappe,GRRRRR 🇫🇷😄🔟... @equipedefrance https://t.co/ilcusek2RE
96,2020-10-07 21:29:05+00:00,KMbappe,@WissBenYedder @AntoGriezmann @CorentinTolisso @LucasDigne @equipedefrance Baller 😈🤪
97,2020-10-04 16:49:18+00:00,KMbappe,📸🤙🏽... https://t.co/htRg84azAn
98,2020-10-02 21:11:02+00:00,KMbappe,😄⚽️🎯... @PSG_inside https://t.co/WwtuKtM1kU
99,2020-10-01 16:08:07+00:00,KMbappe,Bon bah on pars sur ZZ 🇫🇷👑... #FUT21 https://t.co/3qm7QknsWf https://t.co/BgFmmtiYrO
100,2020-09-30 13:04:33+00:00,KMbappe,Ligue1 2019-20 Player of the Season 🏆🤙🏽... @Transfermarkt https://t.co/5tP3pSKr4n
101,2020-09-29 17:51:20+00:00,KMbappe,"Attaque Ronaldo🇧🇷- Henry’s🇫🇷..✅

Mon 10 dans mon attaque FUT21 ?"
102,2020-09-29 12:54:12+00:00,KMbappe,FIFA 21 😍😍😍 @EASPORTSFIFA https://t.co/uTNTHffkkk
103,2020-09-23 11:53:27+00:00,KMbappe,"WORK, WORK &amp; WORK 🔴🔵... https://t.co/1A5sTBgnud"
104,2020-09-22 17:38:41+00:00,KMbappe,😭😈 @EASPORTSFIFA https://t.co/bG8TFtM3Vc https://t.co/BrkHhcdwdC
105,2020-09-20 13:50:56+00:00,KMbappe,Happy to be back ❤️💙... @PSG_inside https://t.co/pq5Id7kX89
106,2020-09-13 20:01:46+00:00,KMbappe,Allez les gars 🔴🔵. @PSG_inside
107,2020-09-13 00:22:46+00:00,KMbappe,👑👑👑 https://t.co/Cysgh1qSkX
108,2020-09-12 23:22:09+00:00,KMbappe,Tonight 🏀👊🏽 #LakeShow #Game5
109,2020-09-12 23:17:29+00:00,KMbappe,@enzo_grd4 Gardes ton énergie pour encourager l’équipe ce sera suffisant 😃👍🏽
110,2020-09-10 15:28:35+00:00,KMbappe,"New Season, New Rating 😈 @EASPORTSFIFA https://t.co/NCbiRJlsp2"
111,2020-09-02 18:28:23+00:00,KMbappe,🇫🇷😃❤️... #NouvellePhotoDeProfil https://t.co/AP1K5h1HEv
112,2020-08-31 17:45:46+00:00,KMbappe,🇫🇷🤩🔙... @equipedefrance https://t.co/WMOiNDKNPp
113,2020-08-29 08:37:07+00:00,KMbappe,Rest in Peace 🕊🤍... https://t.co/2JecTnHssZ
114,2020-08-27 12:48:59+00:00,KMbappe,💙🤍❤️... @equipedefrance https://t.co/mNWJZdXKeU
115,2020-08-25 20:09:46+00:00,KMbappe,Recharging for the new season with @BULKHOMME https://t.co/BwoewOChF6
116,2020-08-24 00:51:45+00:00,KMbappe,"Déçu de ne pas conclure cette année avec la plus belle des récompenses mais la vie est faite ainsi.On s’est battu de toutes nos forces. Félicitations au Bayern. 
Et un grand merci pour votre soutien."
117,2020-08-23 17:44:51+00:00,KMbappe,👊🏽👊🏽👊🏽 #UCLfinal https://t.co/9Xncb6mKTF
118,2020-08-21 21:54:42+00:00,KMbappe,"In 2008, my parents saved up for a quarter to offer me the first edition of the Mercurial Pink Panther worn by the great @FranckRibery 

Now in 2020 I will be wearing the new version at the Champions League final. 

🤜🏽🤛🏽 @NikeFootball https://t.co/AVy53NbKDl"
119,2020-08-18 21:38:41+00:00,KMbappe,ONE STEP TO MAKE HISTORY... https://t.co/Itq4Nupymi
120,2020-08-18 21:18:51+00:00,KMbappe,CHAMPIONS LEAGUE FINAL 😭😍
121,2020-08-18 17:43:52+00:00,KMbappe,7 https://t.co/agOiIjPkxT
122,2020-08-15 21:01:56+00:00,KMbappe,"FARMERS LEAGUE 🤡 

👏🏽👏🏽👏🏽 @OL"
123,2020-08-13 14:38:50+00:00,KMbappe,CONNEXION 😁🤜🏽🤛🏽 #Choupo https://t.co/RR5yIvzN6p
124,2020-08-12 22:02:14+00:00,KMbappe,"Tu m’parles pas de douleurs...🤪
Un grand merci au staff médical de m’avoir remis sur pied, personne n’y croyait sauf nous. 
Félicitations à tout le groupe, on est parti la chercher celle là. 

RDV EN DEMI. ICI C’EST PARIS 🔴🔵 https://t.co/Eev67evxQE"
125,2020-08-12 21:49:47+00:00,KMbappe,NOUS SOMMES LE PARIS SAINT-GERMAIN 🔴🔵
126,2020-08-12 17:42:51+00:00,KMbappe,7 https://t.co/HZupXlQXvU
127,2020-08-11 20:32:05+00:00,KMbappe,J-1: Champions League Mood 👀⭐️ https://t.co/WMAqZJ12fy
128,2020-08-11 16:46:01+00:00,KMbappe,🔴🔵📸... @PSG_inside https://t.co/bxD73S1B0O
129,2020-08-08 11:53:20+00:00,KMbappe,🛩🇵🇹🤙🏽... @PSG_inside https://t.co/5h7iril33Z
130,2020-08-04 17:35:17+00:00,KMbappe,"🇱🇧🙏🏽😳... 
Toutes mes prières vont aux victimes de cette explosion à Beyrouth."
131,2020-08-03 16:13:42+00:00,KMbappe,🎭 https://t.co/aZZPkEsiWB
132,2020-08-02 20:16:08+00:00,KMbappe,@FlorianThauvin MACHINE 🤖🤖🤖
133,2020-08-01 12:36:45+00:00,KMbappe,"Si vous avez mal démarré votre journée, ceci devrait vous redonner le sourire. 
CRACK 🎩🇮🇹🦉.... 

Bonne journée 👋🏽 https://t.co/ntkBCcyFhC"
134,2020-07-31 22:53:30+00:00,KMbappe,"La dernière Coupe de la Ligue sera pour nous 🔴🔵🙏🏽...
Super travail de toute l’équipe. 
Notre deuxième titre en une semaine. https://t.co/Gb0qMoAHGb"
135,2020-07-31 16:36:26+00:00,KMbappe,LET’S GO 🔴🔵🙏🏽.... https://t.co/GG9z9UoKo3
136,2020-07-31 09:26:05+00:00,KMbappe,"#EidMubarak à tous les musulmans. 
Profitez de vos proches et prenez soin de vous ! 🎉"
137,2020-07-30 13:03:54+00:00,KMbappe,"Juste en train de regarder le replay du Milan...
Zlatan quel joueur quand même. 
38 ans 😳😳😳

C’était tout pour moi bonne journée les gars 😂🤪👍🏽"
138,2020-07-29 20:30:20+00:00,KMbappe,@mbxppe10 Merci pour le soutien 🙏🏽👊🏽.
139,2020-07-27 21:04:14+00:00,KMbappe,night session at home 🤪 https://t.co/iQvIS9AH54
140,2020-07-26 15:23:24+00:00,KMbappe,@FabioQ20 Félicitations encore champion 🙌🏽 https://t.co/VlA85Ad2x2
141,2020-07-26 13:16:22+00:00,KMbappe,"Félicitations 🍾🏁 @FabioQ20 
On peut dire que tu as du goût...😝
10/10 👏🏽 https://t.co/SzK6qivCyk"
142,2020-07-25 09:49:44+00:00,KMbappe,"⏳👊🏽🙏🏽. 
Réveil en tant que vainqueur, pas de meilleure sensation possible. 
Merci à tous pour vos messages, ça me touche beaucoup. 
Bisous à tous et bon week-end 😀 https://t.co/gwTI48KXrm"
143,2020-07-25 08:26:30+00:00,KMbappe,🤜🏽🤛🏽 @ASSEofficiel https://t.co/871MosrTFp
144,2020-07-22 15:00:16+00:00,KMbappe,"Cover Star ⭐️
Can’t wait to play this!
Proud to be the #FIFA21 cover star 
Dream come true. 

@EASPORTSFIFA https://t.co/RGpStusWwH"
145,2020-07-21 19:26:25+00:00,KMbappe,RDV au Stade de France 👊🏽😀 https://t.co/bmwH5EMCi8
146,2020-07-21 10:37:20+00:00,KMbappe,"• PSG 2020-21 🔴🔵

Fier de pouvoir faire parti de ce nouveau chapitre de l’histoire du club. @PSG_inside @NikeFootball 

Ensemble nous sommes invincibles 👊🏽 
#ICICESTPARIS #50ANS https://t.co/SSovWSTkHV"
147,2020-07-16 14:04:01+00:00,KMbappe,Brotherhood 💕 https://t.co/tUFkypgV6M
148,2020-07-15 11:39:09+00:00,KMbappe,"@AfcSimo Yeah, for sure man. 
Have a good day 🤜🏽🤛🏽"
149,2020-07-15 11:37:11+00:00,KMbappe,🇫🇷🔟... #ChampionsDuMonde https://t.co/5YDXiX3KPu
150,2020-07-15 10:57:25+00:00,KMbappe,🇫🇷🎉🏆... #2ans @equipedefrance https://t.co/8ZFic7fVNf
151,2020-07-14 13:05:41+00:00,KMbappe,"Bonne fête nationale à tous 🇫🇷 
#14juillet #BastilleDay https://t.co/kiDLwOg9QN"
152,2020-07-13 10:18:44+00:00,KMbappe,Je suis avec toi 🕊❤️🙏🏽... @Serge_aurier
153,2020-07-12 19:18:23+00:00,KMbappe,Quel sensation de pouvoir rejouer au football !!! 🤩🤩🤩 https://t.co/xz1p8S2fly
154,2020-07-12 15:51:13+00:00,KMbappe,NOW IT’s FOR REAL...WE’RE BACK ❤️⚽️ https://t.co/bJMk7GGW5q
155,2020-07-08 15:28:35+00:00,KMbappe,"🆕💞⌚️... #BigBangMillennialPink 

@Hublot https://t.co/LeJrC8ij1a"
156,2020-06-30 15:46:52+00:00,KMbappe,Cake Battle 🧁🤣👊🏽 @neymarjr https://t.co/8eNgqCgyLk
157,2020-06-28 12:57:03+00:00,KMbappe,À VOTÉ ☑️... https://t.co/KZ3aTXp3o5
158,2020-06-27 17:30:17+00:00,KMbappe,🤟🏽🌸... https://t.co/NPdz543Wtl
159,2020-06-22 16:32:33+00:00,KMbappe,@layvinkurzawa @PSG_inside T’es un vrai ❤️🙏🏽
160,2020-06-22 12:00:59+00:00,KMbappe,BACK ❤️💙... @PSG_inside https://t.co/tKXSD9sDqW
161,2020-06-21 12:04:53+00:00,KMbappe,"Happy birthday 50th 
3x WorldCup Champion 
King 👑🇧🇷 @pelegacy10 

This is for you! https://t.co/5Cp12iTE91"
162,2020-06-20 19:41:16+00:00,KMbappe,saturday night at home 🏠🍿 https://t.co/F5csGEvlSA
163,2020-06-20 16:11:12+00:00,KMbappe,"High-quality men’s skincare from Japan to Europe😄🙌🏽 Official launch for my partner BULK HOMME, exactly one year after the one in Japan 🇫🇷/🇯🇵 Éveillez votre inspiration !
@BULKHOMME
#bulkhomme #invokeyourinspiration #eveillezvotreinspiration #printemps https://t.co/AmXZz95Mvz"
164,2020-06-19 20:15:55+00:00,KMbappe,MEMORIES OF 2016 🇮🇩⚽️ @AS_Monaco https://t.co/S6tL5e53lN
165,2020-06-17 18:26:01+00:00,KMbappe,Cryotherapy ❄️🤘🏽... https://t.co/eQdi7Nwica
166,2020-06-15 16:39:18+00:00,KMbappe,😂😂😂 https://t.co/lbeEw6O3RY
167,2020-06-14 15:32:06+00:00,KMbappe,"Un gars 💙, une fille 💗... https://t.co/FRgomXWjbp"
168,2020-06-12 15:32:31+00:00,KMbappe,🇮🇩 https://t.co/hF9WYD8YQK
169,2020-06-08 18:35:40+00:00,KMbappe,"Respect pour ce que tu as accompli pour le club et merci pour ce que tu m’as apporté. Tu vas rester dans l’histoire🧤🎩. 

MERCI SUBA 🇮🇩❤️ https://t.co/l76ppz7qo5"
170,2020-06-01 21:33:03+00:00,KMbappe,@colin2dagba Ouais ouais ouais Colinho 😂😍
171,2020-06-01 14:51:32+00:00,KMbappe,https://t.co/95SoRjggxK
172,2020-05-30 12:56:19+00:00,KMbappe,🗣✊🏽 #JusticeForGeorge
173,2020-05-19 16:25:27+00:00,KMbappe,@colin2dagba @PSG_inside 😂😂😂
174,2020-05-16 13:37:01+00:00,KMbappe,"👀⚽️📺... #BVBS04 
#BundesligaIsBack"
175,2020-05-08 18:03:02+00:00,KMbappe,"🏆🥇
Merci à tous pour vos messages.
Je pense par contre que Wissam aussi mérite un trophée, comme ça s’est fait en Premier League la saison dernière pour récompenser son année 🤷🏽‍♂️...
🤝 @WissBenYedder 

#UnTrophéePourWissam https://t.co/M3TA5Gd4SJ"
176,2020-05-01 12:52:07+00:00,KMbappe,"@WissBenYedder Félicitations, grosse saison mon pote 👌🏽
Prends soin de toi."
177,2020-04-30 17:45:51+00:00,KMbappe,"2016-17 ✅ @AS_Monaco 

2017-18, 2018-19, 2019-20 ✅ @PSG_inside 

🏆🔴🔵 #CHAMPI9NSATHOME https://t.co/8CHXEOdrbb"
178,2020-04-29 17:13:24+00:00,KMbappe,"#TBT 
Everyone is talking, but nobody knows...👤 
MISS MY TEAM ❤️💙... @PSG_inside https://t.co/OgPHnfXYeZ"
179,2020-04-29 12:52:59+00:00,KMbappe,"RIP JAMES 🙏🏽🌹. 

Un amoureux du club qui va grandement nous manquer, mes condoléances à sa famille. 

❤️💙 @PSG_inside"
180,2020-04-21 19:40:52+00:00,KMbappe,Another day ✔️ https://t.co/e229RvcdBi
181,2020-04-20 17:58:56+00:00,KMbappe,⚽️🏋🏽‍♀️❤️... https://t.co/w6K1hEa6hI
182,2020-04-18 01:07:10+00:00,KMbappe,"@Zlataneur_ @marzodooyax @mattiasmbm Il manque le numéro 10, tu le mentionnes même pas 😳😂"
183,2020-04-05 17:56:19+00:00,KMbappe,@FALCAO CRACK 🇮🇩👑...
184,2020-03-31 20:45:52+00:00,KMbappe,"Plus aucune place pour la rivalité ce soir. Très triste d’apprendre le décès d’un monument de notre football, mes condoléances à la famille Diouf. 

🙏🏽🙏🏽🙏🏽 

#StayAtHome"
185,2020-03-26 18:56:41+00:00,KMbappe,Mes condoléances à la famille de Michel Hidalgo. 🙏🏽 https://t.co/OKdyVTtgh4
186,2020-03-22 16:32:23+00:00,KMbappe,"Ahahah 😂😂😂...
Désolé mais moi j’ai pas pris FIFA avec moi lol, et puis ça y est il est Papa maintenant 👶🏻❤️🙏🏽 @FlorianThauvin https://t.co/Z089zdXkQV"
187,2020-03-21 13:32:57+00:00,KMbappe,"Partageons la même ambition: protéger les autres.
#RestezchezVous  
Pour que demain le monde redevienne le terrain de tous nos jeux.
#PrenezSoindeVous https://t.co/wEcretqQw1"
188,2020-03-18 12:59:56+00:00,KMbappe,@MATUIDIBlaise CHARO 👊🏽👊🏽👊🏽
189,2020-03-11 22:29:11+00:00,KMbappe,❤️💙...
190,2020-02-14 13:17:37+00:00,KMbappe,@MATUIDIBlaise AHAHAHAHA 😂😂😂😂
